,5,10,15,20,25,间隔
1,1.481200524,5.012150298,9.357765059,15.28441613,34.7602957,
6,21.70994109,70.1287742,96.64594849,165.6728725,133.0217929,
11,40.11184869,134.384233,197.2330785,307.4856242,329.5697281,
16,94.93027242,183.6776916,265.9547687,532.4536631,512.7219832,
21,135.5255254,193.9917076,494.9612919,514.3159898,573.4199762,
26,136.8289736,372.0912822,365.5550245,293.7142085,412.2695789,
31,249.5038434,486.9972077,556.8521893,448.044468,666.438302,
36,361.3600307,431.4835104,579.8916152,486.2672692,430.5689037,
41,406.2364728,559.2122876,431.3295232,467.3655383,583.0407321,
46,233.5086536,315.0724495,313.2795854,432.0323462,590.3425073,
短均线,,,,,,
纵轴是较短均线的时间,,,,,,
横轴是两条均线的时间间隔,,,,,,
